,Country/Region,Total_Cases,Deaths,Recovered_Cases,Active_Cases,Serious_Cases,Total_Test,Cases_per_million,Deaths_per_million
150,guinea-bissau,2385.0,40.0,1728.0,617.0,5.0,0.0,1204.0,20.0
151,sierra_leone,2300.0,72.0,1725.0,503.0,0.0,0.0,287.0,9.0
152,burkina_faso,2254.0,60.0,1516.0,678.0,0.0,0.0,107.0,3.0
153,uruguay,2251.0,49.0,1917.0,285.0,2.0,259772.0,647.0,14.0
154,yemen,2051.0,593.0,1329.0,129.0,0.0,0.0,68.0,20.0
155,cyprus,1984.0,25.0,1369.0,590.0,2.0,408839.0,1640.0,21.0
156,togo,1921.0,49.0,1433.0,439.0,0.0,99354.0,231.0,6.0
157,new_zealand,1870.0,25.0,1801.0,44.0,0.0,996955.0,374.0,5.0
158,martinique,1851.0,22.0,98.0,1731.0,14.0,39379.0,4934.0,59.0
159,lesotho,1800.0,42.0,926.0,832.0,0.0,20692.0,838.0,20.0
160,liberia,1360.0,82.0,1245.0,33.0,2.0,30332.0,267.0,16.0
161,chad,1274.0,90.0,1102.0,82.0,0.0,0.0,77.0,5.0
162,niger,1201.0,69.0,1123.0,9.0,9.0,27584.0,49.0,3.0
163,vietnam,1107.0,35.0,1024.0,48.0,0.0,1009145.0,11.0,0.4
164,sao_tome_and_principe,922.0,15.0,890.0,17.0,0.0,5308.0,4186.0,68.0
165,san_marino,741.0,42.0,682.0,17.0,3.0,7895.0,21826.0,1237.0
166,diamond_princess,712.0,13.0,659.0,40.0,4.0,0.0,0.0,0.0
167,sint_maarten,703.0,22.0,622.0,59.0,6.0,4684.0,16345.0,512.0
168,channel_islands,699.0,48.0,623.0,28.0,2.0,127554.0,4010.0,275.0
169,turks_and_caicos,695.0,6.0,672.0,17.0,4.0,3640.0,17885.0,154.0
170,curaçao,571.0,1.0,308.0,262.0,2.0,9070.0,3476.0,6.0
171,papua_new_guinea,549.0,7.0,532.0,10.0,0.0,26417.0,61.0,0.8
172,taiwan,527.0,7.0,488.0,32.0,0.0,96280.0,22.0,0.3
173,burundi,517.0,1.0,472.0,44.0,0.0,37522.0,43.0,0.08
174,tanzania,509.0,21.0,183.0,305.0,7.0,0.0,8.0,0.3
175,comoros,495.0,7.0,475.0,13.0,0.0,0.0,566.0,8.0
176,faeroe_islands,477.0,0.0,461.0,16.0,0.0,138822.0,9752.0,0.0
177,gibraltar,476.0,0.0,405.0,71.0,0.0,53157.0,14130.0,0.0
178,saint_martin,466.0,8.0,309.0,149.0,11.0,5170.0,11997.0,206.0
179,eritrea,405.0,0.0,364.0,41.0,0.0,0.0,114.0,0.0
180,mauritius,395.0,10.0,358.0,27.0,0.0,253248.0,310.0,8.0
181,isle_of_man,345.0,24.0,316.0,5.0,0.0,14134.0,4051.0,282.0
182,mongolia,315.0,0.0,310.0,5.0,1.0,76617.0,96.0,0.0
183,bhutan,306.0,0.0,282.0,24.0,0.0,149297.0,395.0,0.0
184,cambodia,283.0,0.0,277.0,6.0,0.0,151514.0,17.0,0.0
185,monaco,233.0,2.0,209.0,22.0,1.0,51953.0,5926.0,51.0
186,cayman_islands,220.0,1.0,211.0,8.0,0.0,40820.0,3337.0,15.0
187,barbados,204.0,7.0,182.0,15.0,0.0,26443.0,710.0,24.0
188,bermuda,184.0,9.0,170.0,5.0,0.0,69671.0,2958.0,145.0
189,caribbean_netherlands,148.0,2.0,78.0,68.0,0.0,2857.0,5630.0,76.0
190,seychelles,148.0,0.0,144.0,4.0,0.0,5200.0,1502.0,0.0
191,brunei_,146.0,3.0,143.0,0.0,0.0,61809.0,333.0,7.0
192,liechtenstein,142.0,1.0,117.0,24.0,0.0,900.0,3721.0,26.0
193,antigua_and_barbuda,111.0,3.0,97.0,11.0,0.0,3035.0,1131.0,31.0
194,british_virgin_islands,71.0,1.0,70.0,0.0,0.0,5193.0,2344.0,33.0
195,st._barth,65.0,0.0,37.0,28.0,0.0,2668.0,6576.0,0.0
196,st._vincent_grenadines,64.0,0.0,64.0,0.0,0.0,5451.0,576.0,0.0
197,macao,46.0,0.0,46.0,0.0,0.0,4238.0,71.0,0.0
198,fiji,32.0,2.0,28.0,2.0,1.0,11318.0,36.0,2.0
199,dominica,32.0,0.0,24.0,8.0,0.0,2612.0,444.0,0.0
200,saint_lucia,28.0,0.0,27.0,1.0,0.0,8591.0,152.0,0.0
201,timor-leste,28.0,0.0,28.0,0.0,0.0,8073.0,21.0,0.0
202,new_caledonia,27.0,0.0,27.0,0.0,0.0,14585.0,94.0,0.0
203,grenada,24.0,0.0,24.0,0.0,0.0,6252.0,213.0,0.0
204,laos,23.0,0.0,22.0,1.0,0.0,56923.0,3.0,0.0
205,saint_kitts_and_nevis,19.0,0.0,18.0,1.0,0.0,2589.0,356.0,0.0
206,greenland,16.0,0.0,14.0,2.0,0.0,8879.0,282.0,0.0
207,saint_pierre_miquelon,16.0,0.0,12.0,4.0,0.0,2144.0,2765.0,0.0
208,montserrat,13.0,1.0,12.0,0.0,0.0,483.0,2604.0,200.0
209,falkland_islands,13.0,0.0,13.0,0.0,0.0,2682.0,3707.0,0.0
210,vatican_city,12.0,0.0,12.0,0.0,0.0,0.0,14963.0,0.0
211,western_sahara,10.0,1.0,8.0,1.0,0.0,0.0,17.0,2.0
212,ms_zaandam,9.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0
213,anguilla,3.0,0.0,3.0,0.0,0.0,1329.0,199.0,0.0
214,solomon_islands,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
215,china,85536.0,4634.0,80696.0,206.0,2.0,160000000.0,59.0,3.0
216,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,china,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
